"R00001"		1	"Polyphosphate + H2O = Oligophosphate"	"C00890 + C00001 = C02174"	890	2174								"3.6.1.10"																																																																					"Polyphosphate polyphosphohydrolase"			
"R00002"	"!?cm"	1	"16 ATP + 16 H2O = 8 e- + 8 H+ + 16 Orthophosphate + 16 ADP"	"16 C00002 + 16 C00001 = 8 C05359 + 8 C00080 + 16 C00009 + 16 C00008"	2	8								"1.18.6.1"																																																																					"Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"			"RP: A00003  C00002_C00008 main"
																																																																																						
"R00004"		1	"Pyrophosphate + H2O = 2 Orthophosphate"	"C00013 + C00001 = 2 C00009"	13	9								"3.6.1.1"																																																																					"Pyrophosphate phosphohydrolase"	"KO: K01507  inorganic pyrophosphatase"	"PATH: rn00190  Oxidative phosphorylation"	"RP: A00190  C00009_C00013 main"
"R00005"		1	"Urea-1-carboxylate + H2O = 2 CO2 + 2 NH3"	"C01010 + C00001 = 2 C00011 + 2 C00014"	1010	11	1010	14						"3.5.1.54"																																																																					"Urea-1-carboxylate amidohydrolase"	"KO: K01457  allophanate hydrolase"	"PATH: rn00220  Urea cycle and metabolism of amino groups
PATH: rn00791  Atrazine degradation"	
"R00006"		1	"2 Pyruvate = 2-Acetolactate + CO2 "	"2 C00022 = C00900 + C00011 "	22	900								"2.2.1.6"																																																																					"2-Acetolactate pyruvate-lyase (carboxylating)"	"KO: K01651  acetolactate synthase"	"PATH: rn00770  Pantothenate and CoA biosynthesis"	"RP: A00440  C00022_C00900 main"
"R00007"		1	"4-Hydroxy-4-methyl-2-oxoglutarate = 2 Pyruvate"	"C04184 = 2 C00022"	4184	22								"4.1.3.17"																																																																					"4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase"		"PATH: rn00362  Benzoate degradation via hydroxylation"	
"R00008"		1	"Parapyruvate = 2 Pyruvate"	"C06033 = 2 C00022"	6033	22								"4.1.3.17"																																																																					"Parapyruvate pyruvate-lyase"		"PATH: rn00660  C5-Branched dibasic acid metabolism"	
"R00009"	"!balanced, 1 Kegg"	0	"2 H2O2 = Oxygen + 2 H2O"	"2 C00027 = C00007 + 2 C00001"	27	7								"1.11.1.6"																																																																					"hydrogen-peroxide:hydrogen-peroxide oxidoreductase"			
"R00010"		1	"alpha,alpha-Trehalose + H2O = 2 D-Glucose"	"C01083 + C00001 = 2 C00031"	1083	31								"3.2.1.28"																																																																					"alpha,alpha-Trehalose glucohydrolase"	"KO: K01194  alpha,alpha-trehalase"	"PATH: rn00500  Starch and sucrose metabolism"	"RP: A00453  C00031_C01083 main"
"R00011"	"!?cm, 1 Brenda, 0 before, wrong entry => definition + equation turned; manganese replaced"	1	"H2O2 + 2 Mn(II) + 2 H+ = 2 Mn(III) + 2 H2O"	"C00027 + 2 C00034 + 2 C00080 = 2 C00034 + 2 C00001"	34	34								"1.11.1.13"																																																																					"Mn(II):hydrogen-peroxide oxidoreductase"			
"R00012"	"!0 Brenda, balanced"	0	"2 GTP = Pyrophosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate"	"2 C00044 = C00013 + C01261"	44	1261								"2.7.7.45"																																																																					"GTP:GTP guanylyltransferase"			"RP: A00199  C00013_C00044 main
RP: A00462  C00044_C01261 main"
"R00013"		1	"2 Glyoxylate = 2-Hydroxy-3-oxopropanoate + CO2"	"2 C00048 = C01146 + C00011"	48	1146								"4.1.1.47"																																																																					"Glyoxylate carboxy-lyase (dimerizing)"	"KO: K01608  tartronate-semialdehyde synthase"	"PATH: rn00630  Glyoxylate and dicarboxylate metabolism"	
"R00014"		1	"Thiamin diphosphate + Pyruvate = 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2 "	"C00068 + C00022 = C05125 + C00011 "	68	5125	22	5125						"1.2.4.1"	"2.2.1.6"	"4.1.1.1"																																																																			"2-(alpha-Hydroxyethyl)thiamine diphosphate pyruvate-lyase (carboxylating)"	"KO: K00160  pyruvate dehydrogenase
KO: K01568  pyruvate decarboxylase
KO: K01651  acetolactate synthase"	"PATH: rn00010  Glycolysis / Gluconeogenesis
PATH: rn00290  Valine, leucine and isoleucine biosynthesis
PATH: rn00650  Butanoate metabolism"	"RP: A00074  C00068_C05125 main"
"R00015"		0	"2 Sucrose = D-Glucose + 1F-beta-D-Fructosylsucrose"	"2 C00089 = C00031 + C03661"	89	31	89	3661						"2.4.1.99"																																																																					"Sucrose:sucrose 1F-beta-D-fructosyltransferase"			"RP: A00205  C00031_C00089 main"
"R00016"		0	"2 D-Glucose 1-phosphate = D-Glucose + D-Glucose 1,6-bisphosphate"	"2 C00103 = C00031 + C00660"	103	31	103	660						"2.7.1.41"																																																																					"D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase"			"RP: A00208  C00031_C00103 main
RP: A00210  C00103_C00660 main"
"R00017"	"!not balanced, 1 Brenda, 0 before"	1	"H2O2 + 2 Ferrocytochrome c = 2 Ferricytochrome c + 2 H2O"	"C00027 + 2 C00126 = 2 C00125 + 2 C00001"	126	125								"1.11.1.5"																																																																					"Ferrocytochrome-c:hydrogen-peroxide oxidoreductase"			
"R00018"		1	"2 Putrescine = Homospermidine + NH3"	"2 C00134 = C06366 + C00014"	134	6366								"2.5.1.44"																																																																					"Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"	"KO: K00808  homospermidine synthase"	"PATH: rn00960  Alkaloid biosynthesis II"	"RP: A00468  C00134_C06366 main"
"R00019"	"!wrong pair???? H + H2 as c.m.! 0 Brenda, 1 before"	0	"2 Reduced ferredoxin + 2 H+ = Hydrogen + 2 Oxidized ferredoxin"	"2 C00138 + 2 C00080 = C00282 + 2 C00139"	138	139								"1.12.7.2"																																																																					"Reduced ferredoxin:H+ oxidoreductase"	"KO: K00532  ferredoxin hydrogenase"	"PATH: rn00630  Glyoxylate and dicarboxylate metabolism
PATH: rn00680  Methane metabolism"	
																																																																																						
"R00021"	"!1 Kegg"	1	"L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin = 2 L-Glutamate + 2 Oxidized ferredoxin "	"C00064 + C00026 + 2 C00138 = 2 C00025 + 2 C00139 "	64	25	26	25						"1.4.7.1"																																																																					"L-Glutamate:ferredoxin oxidoreductase (transaminating)"	"KO: K00284  glutamate synthase (ferredoxin)"	"PATH: rn00910  Nitrogen metabolism"	"RP: A00014  C00025_C00026 main
RP: A00024  C00025_C00064 main"
"R00022"		1	"Chitobiose + H2O = 2 N-Acetyl-D-glucosamine"	"C01674 + C00001 = 2 C00140"	1674	140								"3.2.1.52"																																																																						"KO: K01207  beta-N-acetylhexosaminidase"	"PATH: rn00530  Aminosugars metabolism"	
"R00023"		0	"2 Hydroxylamine + 2 NAD+ = Hyponitrite + 2 NADH + 2 H+"	"2 C00192 + 2 C00003 = C01818 + 2 C00004 + 2 C00080"	192	1818								"1.7.1.5"																																																																					"NADH:hyponitrite oxidoreductase"			"RP: A02943  C00192_C01818 main"
"R00024"		1	"D-Ribulose 1,5-bisphosphate + CO2 + H2O = 2 3-Phospho-D-glycerate"	"C01182 + C00011 + C00001 = 2 C00197"	1182	197								"4.1.1.39"																																																																					"D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)"	"KO: K01600  ribulose-bisphosphate carboxylase"	"PATH: rn00710  Carbon fixation"	"RP: A00477  C00197_C01182 main"
"R00025"	"!cm?88? Yes!"	1	"Oxygen + 2 2-Nitropropane = 2 Acetone + 2 Nitrite"	"C00007 + 2 C02116 = 2 C00207 + 2 C00088"	2116	207								"1.13.11.32"																																																																					"2-Nitropropane:oxygen 2-oxidoreductase"	"KO: K00459  2-nitropropane dioxygenase"	"PATH: rn00910  Nitrogen metabolism"	"RP: A02945  C00207_C02116 main"
"R00026"		1	"Cellobiose + H2O = 2 beta-D-Glucose"	"C00185 + C00001 = 2 C00221"	185	221								"3.2.1.21"																																																																					"beta-D-Glucoside glucohydrolase"	"KO: K01188  beta-glucosidase
KO: K05349  beta-glucosidase
KO: K05350  beta-glucosidase"	"PATH: rn00500  Starch and sucrose metabolism"	
"R00027"		0	"Benzoin = 2 Benzaldehyde"	"C01408 = 2 C00261"	1408	261								"4.1.2.38"																																																																					"2-Hydroxy-1,2-diphenylethanone benzaldehyde-lyase"			
"R00028"		1	"Maltose + H2O = 2 alpha-D-Glucose"	"C00208 + C00001 = 2 C00267"	208	267								"3.2.1.20"																																																																					"alpha-D-Glucoside glucohydrolase"	"KO: K01187  alpha-glucosidase"	"PATH: rn00500  Starch and sucrose metabolism"	
"R00029"	"!?cm"	0	"2 Thiosulfate + 2 Ferricytochrome c = Tetrathionate + 2 Ferrocytochrome c"	"2 C00320 + 2 C00125 = C02084 + 2 C00126"	320	2084								"1.8.2.2"																																																																					"Thiosulfate:ferricytochrome-c oxidoreductase"			
																																																																																						
"R00031"		1	"Oxygen + 2 L-Tyrosine = 2 3,4-Dihydroxy-L-phenylalanine"	"C00007 + 2 C00082 = 2 C00355"	82	355								"1.10.3.1"																																																																					"1,2-Benzenediol:oxygen oxidoreductase"	"KO: K00422  polyphenol oxidase"	"PATH: rn00350  Tyrosine metabolism"	"RP: A00123  C00082_C00355 main"
"R00032"		1	"beta-Carotene + Oxygen = 2 Retinal"	"C02094 + C00007 = 2 C00376"	2094	376								"1.14.99.36"																																																																					"beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"	"KO: K00515  beta-carotene 15,15'-monooxygenase"	"PATH: rn00830  Retinol metabolism"	
"R00033"		1	"Thiamin + Oxygen = H2O2 + Thiamine aldehyde"	"C00378 + C00007 = C00027 + C05856"	378	5856								"1.1.3.23"																																																																					"Thiamin:oxygen 5-oxidoreductase"		"PATH: rn00730  Thiamine metabolism"	"RP: A02981  C00378_C05856 main"
"R00034"		0	"Cyclobutadipyrimidine = 2 Pyrimidine 5'-deoxynucleotide"	"C03103 = 2 C08249"	3103	8249								"4.1.99.3"																																																																					"Cyclobutadipyrimidine (in DNA) pyrimidine-lyase"			
"R00035"		1	"Oxygen + 2 Ascorbate = 2 Dehydroascorbate + 2 H2O"	"C00007 + 2 C00072 = 2 C00425 + 2 C00001"	72	425								"1.10.3.3"																																																																					"L-Ascorbate:oxygen oxidoreductase"			"RP: A00219  C00072_C00425 main"
"R00036"	"!hydro-lyase, 1 Kegg"	1	"2 5-Aminolevulinate = Porphobilinogen + 2 H2O"	"2 C00430 = C00931 + 2 C00001"	430	931								"4.2.1.24"																																																																					"5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and cyclizing)"	"KO: K01698  porphobilinogen synthase"	"PATH: rn00860  Porphyrin and chlorophyll metabolism"	
																																																																																						
"R00038"		0	"2 Propanal = 4-Hydroxyhexan-3-one"	"2 C00479 = C02948"	479	2948								"4.1.2.35"																																																																					"4-Hydroxy-3-hexanone propanal-lyase"			
"R00039"		1	"2 Raffinose = 1F-alpha-D-Galactosylraffinose + Sucrose"	"2 C00492 = C03971 + C00089"	492	3971	492	89						"2.4.1.166"																																																																					"Raffinose:raffinose alpha-D-galactosyltransferase"			"RP: A00235  C00089_C00492 main"
"R00040"		1	"Oxygen + 2 Choline = 2 Betaine aldehyde + 2 H2O"	"C00007 + 2 C00114 = 2 C00576 + 2 C00001"	114	576								"1.1.3.17"																																																																					"Choline:oxygen 1-oxidoreductase"		"PATH: rn00260  Glycine, serine and threonine metabolism"	"RP: A00236  C00114_C00576 main"
"R00041"		1	"2 Long-chain alcohol + Oxygen = 2 Long-chain aldehyde + 2 H2O"	"2 C00339 + C00007 = 2 C00609 + 2 C00001"	339	609								"1.1.3.20"																																																																					"Long-chain-alcohol:oxygen oxidoreductase"			
"R00042"		1	"2 3-(4-Hydroxyphenyl)pyruvate + Oxygen = 2 4-Hydroxyphenylacetate + 2 CO2"	"2 C01179 + C00007 = 2 C00642 + 2 C00011"	1179	642								"1.2.3.13"	"1.2.3.-"																																																																				"4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"		"PATH: rn00350  Tyrosine metabolism"	"RP: A03014  C00642_C01179 main"
"R00043"		1	"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen = 2 4-Hydroxy-3-methoxy-benzaldehyde"	"C04547 + C00007 = 2 C00755"	4547	755								"1.13.11.43"																																																																					"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)"			"RP: A03020  C00755_C04547 main"
"R00044"		1	"2 Columbamine + Oxygen = 2 Berberine + 2 H2O"	"2 C01795 + C00007 = 2 C00757 + 2 C00001"	1795	757								"1.21.3.2"																																																																					"Columbamine:oxygen oxidoreductase (cyclizing)"		"PATH: rn00950  Alkaloid biosynthesis I"	"RP: A03021  C00757_C01795 main"
"R00045"		1	"Oxygen + 2 3,4-Dihydroxy-L-phenylalanine = 2 Dopaquinone + 2 H2O"	"C00007 + 2 C00355 = 2 C00822 + 2 C00001"	355	822								"1.10.3.1"																																																																					"1,2-Benzenediol:oxygen oxidoreductase"	"KO: K00422  polyphenol oxidase"	"PATH: rn00350  Tyrosine metabolism"	"RP: A00507  C00355_C00822 main"
																																																																																						
"R00047"		1	"Oxygen + 2 6-Hydroxynicotinate = 2 2,5-Dihydroxypyridine + 2 CO2"	"C00007 + 2 C01020 = 2 C01059 + 2 C00011"	1020	1059								"1.14.99.-"																																																																					"6-Hydroxynicotinate, hydrogen-donor:oxygen oxidoreductase (5-hydroxylating)"	"KO: K00516  fatty acid desaturase"	"PATH: rn00760  Nicotinate and nicotinamide metabolism"	"RP: A03032  C01020_C01059 main"
"R00048"	"!1? no! Hydrolysis with 2 same products, 0 Kegg, 0 before"	1	"(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O = 2 (R)-3-Hydroxybutanoate"	"C04546 + C00001 = 2 C01089"	4546	1089								"3.1.1.22"																																																																					"(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase"	"KO: K07518  hydroxybutyrate-dimer hydrolase"	"PATH: rn00650  Butanoate metabolism"	
"R00049"		0	"2 1-O-Galloyl-beta-D-glucose = D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose"	"2 C01158 = C00031 + C04101"	1158	4101	1158	31						"2.3.1.90"																																																																					"1-O-Galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase"			"RP: A00512  C00031_C01158 main
RP: A03045  C01158_C04101 main"
																																																																																						
																																																																																						
"R00052"	"!?cm"	0	"H2O2 + 2 Alkane + 2 Cl- = 2 RCl + 2 H2O"	"C00027 + 2 C01371 + 2 C00698 = 2 C01334 + 2 C00001"	1371	1334								"1.11.1.10"																																																																					"Chloride:hydrogen-peroxide oxidoreductase"			
"R00053"		1	"Digallate + H2O = 2 Gallate"	"C01572 + C00001 = 2 C01424"	1572	1424								"3.1.1.20"																																																																					"Tannin acylhydrolase"			
"R00054"		1	"Orsellinate depside + H2O = 2 Orsellinate"	"C02868 + C00001 = 2 C01839"	2868	1839								"3.1.1.40"																																																																					"Orsellinate-depside hydrolase"			
"R00055"		1	"2 Inosine + Oxygen = 2 5'-Oxoinosine + 2 H2O"	"2 C00294 + C00007 = 2 C01993 + 2 C00001"	294	1993								"1.1.3.28"																																																																					"Nucleoside:oxygen 5'-oxidoreductase"			"RP: A03102  C00294_C01993 main"
"R00056"		1	"Dinucleotide + H2O = 2 Mononucleotide"	"C01910 + C00001 = 2 C02171"	1910	2171								"3.6.1.9"																																																																					"Dinucleotide nucleotidohydrolase"			"RP: A03104  C01910_C02171 main"
"R00057"		1	"Oxygen + 4 R'C(R)SH = 2 R'C(R)S-S(R)CR' + 2 H2O"	"C00007 + 4 C01525 = 2 C02318 + 2 C00001"	1525	2318								"1.8.3.2"																																																																					"Thiol:oxygen oxidoreductase"			"RP: A03122  C01525_C02318 main"
"R00058"		1	"Oxygen + 2 Catechol = 2 1,2-Benzoquinone + 2 H2O"	"C00007 + 2 C00090 = 2 C02351 + 2 C00001"	90	2351								"1.10.3.1"																																																																					"1,2-Benzenediol:oxygen oxidoreductase"			"RP: A03123  C00090_C02351 main"
"R00059"		1	"N-(6-Aminohexanoyl)-6-aminohexanoate + H2O = 2 6-Aminohexanoate"	"C01255 + C00001 = 2 C02378"	1255	2378								"3.5.1.46"																																																																					"N-(6-Aminohexanoyl)-6-aminohexanoate amidohydrolase"			
"R00060"		1	"Oxygen + 2 Sulochrin = 2 (+)-Bisdechlorogeodin + 2 H2O"	"C00007 + 2 C00495 = 2 C03036 + 2 C00001"	495	3036								"1.21.3.4"																																																																					"Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)"			
"R00061"		1	"Oxygen + 2 Sulochrin = 2 (-)-Bisdechlorogeodin + 2 H2O"	"C00007 + 2 C00495 = 2 C03040 + 2 C00001"	495	3040								"1.21.3.5"																																																																					"Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)"			
"R00062"		0	"2 Bilirubin-glucuronoside = Bilirubin + Bilirubin beta-diglucuronide"	"2 C03374 = C00486 + C05787"	3374	486	3374	5787						"2.4.1.95"																																																																					"Bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase"			
"R00063"		1	"2 1-O-Sinapoyl beta-D-glucoside = 1,2-Bis-O-sinapoyl-beta-D-glucoside + D-Glucose"	"2 C03915 = C04275 + C00031"	3915	31	3915	4275						"2.3.1.103"																																																																					"1-O-(4-Hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4- hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside"			"RP: A03199  C00031_C03915 main
RP: A03200  C03915_C04275 main"
"R00064"		0	"4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate = 2 5-Dehydro-4-deoxy-D-glucuronate"	"C04733 = 2 C04053"	4733	4053								"4.2.2.6"																																																																					"4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate lyase"			
																																																																																						
"R00066"		1	"2 6,7-Dimethyl-8-(1-D-ribityl)lumazine = Riboflavin + 4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine"	"2 C04332 = C00255 + C04732"	4332	4732	4332	255						"2.5.1.9"																																																																					"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl) lumazine 2,3-butanediyltransferase"	"KO: K00793  riboflavin synthase alpha chain"	"PATH: rn00740  Riboflavin metabolism"	
"R00067"	"!?cm"	0	"2 e- + 2 H+ = Hydrogen"	"2 C05359 + 2 C00080 = C00282"	80	282								"1.18.6.1"																																																																					"Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"			
"R00068"		1	"Oxygen + 2 Ascorbate = 2 L-Dehydroascorbate + 2 H2O"	"C00007 + 2 C00072 = 2 C05422 + 2 C00001"	72	5422								"1.10.3.3"																																																																					"L-Ascorbate:oxygen oxidoreductase"	"KO: K00423  L-ascorbate oxidase"	"PATH: rn00053  Ascorbate and aldarate metabolism"	"RP: A00250  C00072_C05422 main"
"R00069"		1	"Oxygen + 2 4-Imidazolone-5-propanoate = 2 Hydantoin-5-propionate "	"C00007 + 2 C03680 = 2 C05565 "	3680	5565								"1.14.13.-"																																																																						"KO: K00492"	"PATH: rn00340  Histidine metabolism"	"RP: A03250  C03680_C05565 main"
"R00070"	"!enzyme unknown, O2!"	1	"2 D-Urobilinogen + Oxygen = 2 D-Urobilin + 2 H2O"	"2 C05791 + C00007 = 2 C05795 + 2 C00001"	5791	5795																																																																															"PATH: rn00860  Porphyrin and chlorophyll metabolism"	
"R00071"	"!enzyme unknown, O2!"	1	"Oxygen + 2 2-Polyprenylphenol = 2 5-Hydroxy-2-polyprenylphenol "	"C00007 + 2 C05807 = 2 C05808 "	5807	5808																																																																															"PATH: rn00130  Ubiquinone biosynthesis"	
"R00072"	"!1in both, in Brenda no H2O!?"	1	"Thiamine aldehyde + Oxygen + H2O = H2O2 + Thiamin acetic acid"	"C05856 + C00007 + C00001 = C00027 + C02892"	5856	2892								"1.1.3.23"																																																																					"Thiamin:oxygen 5-oxidoreductase"		"PATH: rn00730  Thiamine metabolism"	
"R00073"		1	"2 Prostaglandin H2 + Oxygen = 2 Prostaglandin G2"	"2 C00427 + C00007 = 2 C05956"	427	5956								"1.14.99.1"																																																																					"Prostaglandin H2:oxygen oxidoreductase"	"KO: K00509  prostaglandin-endoperoxide synthase"	"PATH: rn00590  Arachidonic acid metabolism"	"RP: A03332  C00427_C05956 main"
"R00074"		1	"3 Oxygen + 4 2-Aminophenol = 6 H2O + 2 Isophenoxazine"	"3 C00007 + 4 C01987 = 6 C00001 + 2 C02161"	1987	2161								"1.10.3.4"																																																																					"2-Aminophenol:oxygen oxidoreductase"		"PATH: rn00380  Tryptophan metabolism"	
"R00075"		1	"3 S-Adenosyl-L-methionine = 3 5'-Methylthioadenosine + Nicotianamine"	"3 C00019 = 3 C00170 + C05324"	19	170	19	5324						"2.5.1.43"																																																																					"S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase"			"RP: A00058  C00019_C00170 main"
"R00076"	"!?ATP consumption"	1	"2 ATP + Phosphorylase b = 2 ADP + Phosphorylase a"	"2 C00002 + C02308 = 2 C00008 + C02307"	2308	2307								"2.7.11.19"																																																																					"ATP:phosphorylase-b phosphotransferase"			"RP: A00003  C00002_C00008 main"
"R00077"	"!?hydrolysis"	1	"Phosphorylase a + 4 H2O = 2 Phosphorylase b + 4 Orthophosphate"	"C02307 + 4 C00001 = 2 C02308 + 4 C00009"	2307	2308								"3.1.3.17"																																																																					"[Phosphorylase a] phosphohydrolase"			
"R00078"		1	"Oxygen + 4 Fe2+ + 4 H+ = 4 Fe3+ + 2 H2O"	"C00007 + 4 C14818 + 4 C00080 = 4 C14819 + 2 C00001"	14818	14819								"1.16.3.1"																																																																					"Fe(II):oxygen oxidoreductase"	"KO: K00522  ferroxidase"	"PATH: rn00860  Porphyrin and chlorophyll metabolism"	
																																																																																						
"R00080"		1	"4 Catechol + 3 Oxygen = 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione"	"4 C00090 + 3 C00007 = 6 C00001 + 2 C03861"	90	3861								"1.1.3.14"																																																																					"Catechol:oxygen oxidoreductase (dimerizing)"			
"R00081"		1	"Oxygen + 4 Ferrocytochrome c = 4 Ferricytochrome c + 2 H2O"	"C00007 + 4 C00126 = 4 C00125 + 2 C00001"	126	125								"1.9.3.1"																																																																					"Ferrocytochrome-c:oxygen oxidoreductase"	"KO: K00403  cytochrome c oxidase
KO: K00404  cb-type cytochrome c oxidase subunit I
KO: K00405  cb-type cytochrome c oxidase subunit II
KO: K00406  cb-type cytochrome c oxidase subunit III
KO: K00407  cb-type cytochrome c oxidase subunit IV
KO: K02256  cytochrome c oxidase subunit I
KO: K02261  cytochrome c oxidase subunit II
KO: K02262  cytochrome c oxidase subunit III
KO: K02263  cytochrome c oxidase subunit IV
KO: K02264  cytochrome c oxidase subunit Va
KO: K02265  cytochrome c oxidase subunit Vb
KO: K02266  cytochrome c oxidase subunit VIa
KO: K02267  cytochrome c oxidase subunit VIb
KO: K02268  cytochrome c oxidase subunit VIc
KO: K02268  cytochrome c oxidase subunit VIc
KO: K02269  cytochrome c oxidase subunit VII
KO: K02269  cytochrome c oxidase subunit VII
KO: K02270  cytochrome c oxidase subunit VIIa
KO: K02270  cytochrome c oxidase subunit VIIa
KO: K02271  cytochrome c oxidase subunit VIIb
KO: K02271  cytochrome c oxidase subunit VIIb
KO: K02272  cytochrome c oxidase subunit VIIc
KO: K02272  cytochrome c oxidase subunit VIIc
KO: K02273  cytochrome c oxidase subunit VIII
KO: K02273  cytochrome c oxidase subunit VIII
KO: K02274  cytochrome c oxidase subunit I
KO: K02274  cytochrome c oxidase subunit I
KO: K02275  cytochrome c oxidase subunit II
KO: K02275  cytochrome c oxidase subunit II
KO: K02276  cytochrome c oxidase subunit III
KO: K02276  cytochrome c oxidase subunit III
KO: K02277  cytochrome c oxidase subunit IV
KO: K02277  cytochrome c oxidase subunit IV"	"PATH: rn00190  Oxidative phosphorylation"	
"R00082"		1	"Oxygen + 4 Ferrocytochrome c2 = 4 Ferricytochrome c2 + 2 H2O"	"C00007 + 4 C01000 = 4 C00997 + 2 C00001"	1000	997								"1.7.2.1"																																																																					"Ferrocytochrome c2:oxygen oxidoreductase"			
"R00083"		1	"Oxygen + 4 Benzenediol = 4 Benzosemiquinone + 2 H2O"	"C00007 + 4 C01785 = 4 C02389 + 2 C00001"	1785	2389								"1.10.3.2"																																																																					"Benzenediol:oxygen oxidoreductase"			
"R00084"		1	"4 Porphobilinogen + H2O = Hydroxymethylbilane + 4 NH3"	"4 C00931 + C00001 = C01024 + 4 C00014"	931	1024								"2.5.1.61"																																																																					"Porphobilinogen ammonia-lyase (polymerizing)"	"KO: K01749  hydroxymethylbilane synthase"	"PATH: rn00860  Porphyrin and chlorophyll metabolism"	"RP: A03398  C00931_C01024 main"
"R00085"		1	"ATP + 2 H2O = AMP + 2 Orthophosphate"	"C00002 + 2 C00001 = C00020 + 2 C00009"	2	20								"3.6.1.5"																																																																					"ATP diphosphohydrolase"			
